disasterNumber,state,declaredCountyArea,placeCode
1456,TN,Carter (County),99019.0
1456,TN,Marion (County),99115.0
1457,NC,Caswell (County),99033.0
1455,WV,Putnam (County),99079.0
1455,WV,Wetzel (County),99103.0
1456,TN,Houston (County),99083.0
1456,TN,Roane (County),99145.0
1457,NC,Stokes (County),99169.0
1455,WV,Webster (County),99101.0
1458,VA,Alexandria,1000.0
1456,TN,Rhea (County),99143.0
1456,TN,Cumberland (County),99035.0
1455,WV,Roane (County),99087.0
1457,NC,Forsyth (County),99067.0
1456,TN,Jackson (County),99087.0
1455,WV,Taylor (County),99091.0
1458,VA,Appomattox (County),99011.0
1456,TN,Lauderdale (County),99097.0
1456,TN,Decatur (County),99039.0
1458,VA,Buchanan (County),99027.0
1457,NC,Granville (County),99077.0
1456,TN,Grainger (County),99057.0
1457,NC,Orange (County),99135.0
1456,TN,Campbell (County),99013.0
1455,WV,Wyoming (County),99109.0
1456,TN,Van Buren (County),99175.0
1456,TN,Sequatchie (County),99153.0
1455,WV,Tucker (County),99093.0
1456,TN,Lewis (County),99101.0
1458,VA,Clarke (County),99043.0
1458,VA,Craig (County),99045.0
1458,VA,Dickenson (County),99051.0
1458,VA,Danville,21344.0
1458,VA,Fairfax (County),99059.0
1458,VA,Floyd (County),99063.0
1458,VA,Halifax (County),99083.0
1458,VA,Fairfax,26496.0
1458,VA,Frederick (County),99069.0
1458,VA,Loudoun (County),99107.0
1458,VA,Highland (County),99091.0
1458,VA,Manassas Park,48968.0
1458,VA,Falls Church,27200.0
1458,VA,Fauquier (County),99061.0
1458,VA,Montgomery (County),99121.0
1458,VA,Henry (County),99089.0
1458,VA,Norton,57688.0
1458,VA,Wise (County),99195.0
1459,MS,Issaquena (County),99055.0
1459,MS,Rankin (County),99121.0
1461,AK,Kenai Peninsula (Borough),99122.0
1458,VA,Roanoke (County),99161.0
1459,MS,Amite (County),99005.0
1458,VA,Rappahannock (County),99157.0
1459,MS,Lauderdale (County),99075.0
1458,VA,Scott (County),99169.0
1458,VA,Manassas,48952.0
1459,MS,Marion (County),99091.0
1459,MS,Franklin (County),99037.0
1458,VA,Pittsylvania (County),99143.0
1458,VA,Lee (County),99105.0
1459,MS,Jefferson (County),99063.0
1459,MS,Clarke (County),99023.0
1459,MS,Warren (County),99149.0
1458,VA,Tazewell (County),99185.0
1459,MS,Simpson (County),99127.0
1462,KS,Allen (County),99001.0
1458,VA,Shenandoah (County),99171.0
1459,MS,Copiah (County),99029.0
1459,MS,Neshoba (County),99099.0
1459,MS,Wayne (County),99153.0
1458,VA,Russell (County),99167.0
1459,MS,Yazoo (County),99163.0
1459,MS,Attala (County),99007.0
1458,VA,Wythe (County),99197.0
1459,MS,Smith (County),99129.0
1459,MS,Claiborne (County),99021.0
1459,MS,Scott (County),99123.0
1459,MS,Walthall (County),99147.0
1459,MS,Leake (County),99079.0
1458,VA,Warren (County),99187.0
1458,VA,Orange (County),99137.0
1459,MS,Jasper (County),99061.0
1461,AK,Matanuska-Susitna (Borough),99170.0
1459,MS,Hinds (County),99049.0
1460,FL,Miami-Dade (County),99086.0
1459,MS,Newton (County),99101.0
1459,MS,Holmes (County),99051.0
1458,VA,Roanoke,68000.0
1461,AK,Anchorage (Borough),99020.0
1459,MS,Lawrence (County),99077.0
1458,VA,Prince William (County),99153.0
1459,MS,Pearl River (County),99109.0
1459,MS,Jefferson Davis (County),99065.0
1458,VA,Winchester,86720.0
1458,VA,Pulaski (County),99155.0
1459,MS,Kemper (County),99069.0
1459,MS,Lincoln (County),99085.0
1458,VA,Salem,70000.0
1459,MS,Pike (County),99113.0
1459,MS,Madison (County),99089.0
1462,KS,Anderson (County),99003.0
1462,KS,Douglas (County),99045.0
1462,KS,Miami (County),99121.0
1462,KS,Seward (County),99175.0
1462,KS,Cherokee (County),99021.0
1462,KS,Leavenworth (County),99103.0
1462,KS,Labette (County),99099.0
1462,KS,Osage (County),99139.0
1463,MO,Barry (County),99009.0
1463,MO,Audrain (County),99007.0
1462,KS,Haskell (County),99081.0
1462,KS,Neosho (County),99133.0
1462,KS,Crawford (County),99037.0
1462,KS,Meade (County),99119.0
1462,KS,Woodson (County),99207.0
1463,MO,Benton (County),99015.0
1463,MO,Camden (County),99029.0
1463,MO,Hickory (County),99085.0
1463,MO,Jefferson (County),99099.0
1463,MO,Pettis (County),99159.0
1463,MO,Pulaski (County),99169.0
1463,MO,Clinton (County),99049.0
1463,MO,Dallas (County),99059.0
1463,MO,Maries (County),99125.0
1463,MO,Monroe (County),99137.0
1463,MO,Christian (County),99043.0
1463,MO,Cooper (County),99053.0
1463,MO,Lawrence (County),99109.0
1463,MO,McDonald (County),99119.0
1463,MO,Barton (County),99011.0
1463,MO,Buchanan (County),99021.0
1463,MO,Greene (County),99077.0
1463,MO,Jackson (County),99095.0
1463,MO,Osage (County),99151.0
1463,MO,Platte (County),99165.0
1462,KS,Wyandotte (County),99209.0
1463,MO,Douglas (County),99067.0
1463,MO,Morgan (County),99141.0
1463,MO,Cedar (County),99039.0
1463,MO,Laclede (County),99105.0
1463,MO,Ray (County),99177.0
1463,MO,Boone (County),99019.0
